Header>> Delimiter(,) FileFormat(Name,Lon(East),Lat(North),Codes,Ht,Layer Name) <<
P1,7500170.495,4691343.920,,1058.177,0
P2,7500168.294,4691343.416,,1058.621,0
P3,7500162.849,4691330.178,,1057.818,0
1,7500154.746,4691382.755,,0.000,0
2,7500174.314,4691351.400,,0.000,0
3,7500172.941,4691348.495,,0.000,0
744203,7500213.319,4691374.746,,0.000,0
744204,7500186.979,4691403.585,,0.000,0
744263,7500179.499,4691324.749,,0.000,0
745417,7500176.389,4691400.555,,0.000,0
745418,7500171.659,4691401.035,,0.000,0
745419,7500156.049,4691403.775,,0.000,0
759078,7500266.414,4691360.274,,0.000,0
759075,7500134.161,4691405.257,,0.000,0
759076,7500172.156,4691351.338,,0.000,0
745421,7500139.000,4691458.703,,0.000,0
745422,7500176.660,4691415.765,,0.000,0
759073,7500131.047,4691450.829,,0.000,0
759074,7500125.305,4691417.615,,0.000,0
759072,7500124.383,4691443.605,,0.000,0
759074_stk,7500125.292,4691417.604,|759074,1046.406,0
759072_stk,7500124.380,4691443.585,|759072,1041.937,0
A4,7500125.066,4691444.332,,1041.982,0
759073_stk,7500131.035,4691450.829,|759073,1038.910,0
745421_stk,7500138.983,4691458.713,|745421,1034.429,0
745422_stk,7500176.651,4691415.746,|745422,1033.796,0
744204_stk,7500187.000,4691403.581,|744204,1035.749,0
A5,7500126.007,4691417.626,,1046.557,0
A6,7500142.386,4691454.712,,1034.414,0
